source	tier	venue	title
dblp	IN_SCOPE	aaai2026	MDF: A Modality-Aware Disentanglement and Fusion Framework for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2026	PSA-MF: Personality-Sentiment Aligned Multi-Level Fusion for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2026	PaSE: Prototype-aligned Calibration and Shapley-based Equilibrium for Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2026	Recovering Coherent Affective Patterns: Addressing Modality Missing in Multimodal Sentiment Analysis
dblp	IN_SCOPE	aaai2026	TMDC: A Two-Stage Modality Denoising and Complementation Framework for Multimodal Sentiment Analysis with Missing and Noisy Modalities
dblp	IN_SCOPE	acl2018-1	Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph
dblp	IN_SCOPE	acl2020	CH-SIMS: A Chinese Multimodal Sentiment Analysis Dataset with Fine-grained Annotation of Modality
dblp	IN_SCOPE	acl2021-1	CTFN: Hierarchical Learning for Multimodal Sentiment Analysis Using Coupled-Translation Fusion Network
dblp	IN_SCOPE	acl2021-1	Multimodal Sentiment Detection Based on Multi-channel Graph Neural Networks
dblp	IN_SCOPE	acl2021f	A Text-Centered Shared-Private Framework via Cross-Modal Prediction for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2022-1	MSCTD: A Multimodal Sentiment Chat Translation Dataset
dblp	IN_SCOPE	acl2022-d	M-SENA: An Integrated Platform for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2022f	Sentiment Word Aware Multimodal Refinement for Multimodal Sentiment Analysis with ASR Errors
dblp	IN_SCOPE	acl2023-1	ConFEDE: Contrastive Feature Decomposition for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2023-1	Tackling Modality Heterogeneity with Multi-View Calibration Network for Multimodal Sentiment Detection
dblp	IN_SCOPE	acl2023f	ConKI: Contrastive Knowledge Injection for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2023f	Sentiment Knowledge Enhanced Self-supervised Learning for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2025-1	Proxy-Driven Robust Multimodal Sentiment Analysis with Incomplete Data
dblp	IN_SCOPE	acl2025f	Cross-lingual Multimodal Sentiment Analysis for Low-Resource Languages via Language Family Disentanglement and Rethinking Transfer
dblp	IN_SCOPE	acl2026-1	Beyond Static Alignment: Adaptive Arbitration for Semantic Incongruence in Semi-Supervised Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2026-1	QA-MoE: Towards a Continuous Reliability Spectrum with Quality-Aware Mixture of Experts for Robust Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2026f	DEAR: Distributional Error-Aware Reliability for Robust Multimodal Sentiment Analysis with Missing Modalities
dblp	IN_SCOPE	acl2026f	Fast Retrieval and Slow Reasoning for Explainable Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2026f	MoLAN: A Unified Modality-Aware Noise Dynamic Editing Framework for Multimodal Sentiment Analysis
dblp	IN_SCOPE	acl2026f	Resource-Limited Joint Multimodal Sentiment Reasoning and Classification via Chain-of-Thought Enhancement and Distillation
dblp	IN_SCOPE	acl2026f	Uncertainty-Calibrated Elastic Alignment for Multimodal Sentiment Analysis with Missing Modalities
dblp	IN_SCOPE	cvpr2024	Correlation-Decoupled Knowledge Distillation for Multimodal Sentiment Analysis with Incomplete Modalities
dblp	IN_SCOPE	emnlp2017	Tensor Fusion Network for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2018	Contextual Inter-modal Attention for Multi-modal Sentiment Analysis
dblp	IN_SCOPE	emnlp2019-1	Context-aware Interactive Attention for Multi-modal Sentiment and Emotion Analysis
dblp	IN_SCOPE	emnlp2021f	Which is Making the Contribution: Modulating Unimodal and Cross-modal Dynamics for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2022	Mitigating Inconsistencies in Multimodal Sentiment Analysis under Uncertain Missing Modalities
dblp	IN_SCOPE	emnlp2022	UniMSE: Towards Unified Multimodal Sentiment Analysis and Emotion Recognition
dblp	IN_SCOPE	emnlp2022f	Multimodal Contrastive Learning via Uni-Modal Coding and Cross-Modal Prediction for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2023	Learning Language-guided Adaptive Hyper-modality Representation for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2023f	Descriptive Prompt Paraphrasing for Target-Oriented Multimodal Sentiment Classification
dblp	IN_SCOPE	emnlp2023f	Improving Multimodal Sentiment Analysis: Supervised Angular margin-based Contrastive Learning for Enhanced Fusion Representation
dblp	IN_SCOPE	emnlp2023f	RethinkingTMSC: An Empirical Study for Target-Oriented Multimodal Sentiment Classification
dblp	IN_SCOPE	emnlp2023f	Visual Elements Mining as Prompts for Instruction Learning for Target-Oriented Multimodal Sentiment Classification
dblp	IN_SCOPE	emnlp2024	D2R: Dual-Branch Dynamic Routing Network for Multimodal Sentiment Detection
dblp	IN_SCOPE	emnlp2024f	Knowledge-Guided Dynamic Modality Attention Fusion Framework for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2025	Dual-Path Dynamic Fusion with Learnable Query for Multimodal Sentiment Analysis
dblp	IN_SCOPE	emnlp2025f	TF-Mamba: Text-enhanced Fusion Mamba with Missing Modalities for Robust Multimodal Sentiment Analysis
dblp	IN_SCOPE	ijcai2019	Adapting BERT for Target-Oriented Multimodal Sentiment Classification
dblp	IN_SCOPE	ijcai2019	DeepCU: Integrating both Common and Unique Latent Information for Multimodal Sentiment Analysis
dblp	IN_SCOPE	ijcai2022	Targeted Multimodal Sentiment Classification based on Coarse-to-Fine Grained Image-Target Matching
dblp	IN_SCOPE	ijcai2024	HyDiscGAN: A Hybrid Distributed cGAN for Audio-Visual Privacy Preservation in Multimodal Sentiment Analysis
dblp	IN_SCOPE	ijcai2025	DFMU: Distribution-based Framework for Modeling Aleatoric Uncertainty in Multimodal Sentiment Analysis
dblp	IN_SCOPE	ijcai2025	Decoupling and Reconstructing: A Multimodal Sentiment Analysis Framework Towards Robustness
dblp	IN_SCOPE	mm2019	Effective Sentiment-relevant Word Selection for Multi-modal Sentiment Analysis in Spoken Language
dblp	IN_SCOPE	mm2020	MISA: Modality-Invariant and -Specific Representations for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2020	Summary of MuSe 2020: Multimodal Sentiment Analysis, Emotion-target Engagement and Trustworthiness Detection in Real-life Media
dblp	IN_SCOPE	mm2021	Transformer-based Feature Reconstruction Network for Robust Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2022	Counterfactual Reasoning for Out-of-distribution Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2022	CubeMLP: An MLP-based Model for Multimodal Sentiment Analysis and Depression Estimation
dblp	IN_SCOPE	mm2023	AcFormer: An Aligned and Compact Transformer for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2023	Building Robust Multimodal Sentiment Recognition via a Simple yet Effective Multimodal Transformer
dblp	IN_SCOPE	mm2023	Cross-modality Representation Interactive Learning for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2023	Few-shot Multimodal Sentiment Analysis Based on Multimodal Probabilistic Fusion Prompts
dblp	IN_SCOPE	mm2023	General Debiasing for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	Enhanced Experts with Uncertainty-Aware Routing for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	GLoMo: Global-Local Modal Fusion for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	GRACE: GRadient-based Active Learning with Curriculum Enhancement for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	KEBR: Knowledge Enhanced Self-Supervised Balanced Representation for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	Learning in Order! A Sequential Strategy to Learn Invariant Features for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2024	Robust Multimodal Sentiment Analysis of Image-Text Pairs by Distribution-Based Feature Recovery and Fusion
dblp	IN_SCOPE	mm2024	WisdoM: Improving Multimodal Sentiment Analysis by Fusing Contextual World Knowledge
dblp	IN_SCOPE	mm2025	DDSE: A Decoupled Dual-Stream Enhanced Framework for Multimodal Sentiment Analysis with Text-Centric SSM
dblp	IN_SCOPE	mm2025	DiffuFuse: Diffusion-Driven Dual-Stream Fusion Framework for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2025	Impact of Stickers on Multimodal Sentiment and Intent in Social Media: A New Task, Dataset and Baseline
dblp	IN_SCOPE	mm2025	LDW: Label Divergence Weighting for Multimodal Sentiment Analysis
dblp	IN_SCOPE	mm2025	Towards Explainable Fusion and Balanced Learning in Multimodal Sentiment Analysis
dblp	IN_SCOPE	naacl2022	Analyzing Modality Robustness in Multimodal Sentiment Analysis
dblp	IN_SCOPE	naacl2022f	CLMLF: A Contrastive Learning and Multi-Layer Fusion Method for Multimodal Sentiment Detection
dblp	IN_SCOPE	naacl2024f	CLGSI: A Multimodal Sentiment Analysis Framework based on Contrastive Learning Guided by Sentiment Intensity
dblp	other_task	aaai2017	Learning Latent Sentiment Scopes for Entity-Level Sentiment Analysis
dblp	other_task	aaai2017	Multimodal Fusion of EEG and Musical Features in Music-Emotion Recognition
dblp	other_task	aaai2017	Unsupervised Sentiment Analysis with Signed Social Networks
dblp	other_task	aaai2017	Visual Sentiment Analysis by Attending on Local Image Regions
dblp	other_task	aaai2018	Cognition-Cognizant Sentiment Analysis With Multitask Subjectivity Summarization Based on Annotators' Gaze Behavior
dblp	other_task	aaai2018	Cross-Lingual Propagation for Deep Sentiment Analysis
dblp	other_task	aaai2018	Learning to Attend via Word-Aspect Associative Fusion for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2018	Multi-Entity Aspect-Based Sentiment Analysis With Context, Entity and Aspect Memory
dblp	other_task	aaai2018	SenticNet 5: Discovering Conceptual Primitives for Sentiment Analysis by Means of Context Embeddings
dblp	other_task	aaai2018	Sentiment Analysis via Deep Hybrid Textual-Crowd Learning Model
dblp	other_task	aaai2018	Targeted Aspect-Based Sentiment Analysis via Embedding Commonsense Knowledge into an Attentive LSTM
dblp	other_task	aaai2019	Video-Based Sentiment Analysis with hvnLBP-TOP Feature and bi-LSTM
dblp	other_task	aaai2019	f-Similarity Preservation Loss for Soft Labels: A Demonstration on Cross-Corpus Speech Emotion Recognition
dblp	other_task	aaai2020	Adversarial Training Based Multi-Source Unsupervised Domain Adaptation for Sentiment Analysis
dblp	other_task	aaai2020	An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos
dblp	other_task	aaai2020	HARK: Harshness-Aware Sentiment Analysis Framework for Product Review (Student Abstract)
dblp	other_task	aaai2020	Instance-Adaptive Graph for EEG Emotion Recognition
dblp	other_task	aaai2020	Interpreting Multimodal Machine Learning Models Trained for Emotion Recognition to Address Robustness and Privacy Concerns
dblp	other_task	aaai2020	Knowing What, How and Why: A Near Complete Solution for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2020	M3ER: Multiplicative Multimodal Emotion Recognition using Facial, Textual, and Speech Cues
dblp	other_task	aaai2020	MIMAMO Net: Integrating Micro- and Macro-Motion for Video Emotion Recognition
dblp	other_task	aaai2020	Privacy Enhanced Multimodal Neural Representations for Emotion Recognition
dblp	other_task	aaai2020	Real-Time Emotion Recognition via Attention Gated Hierarchical Memory Network
dblp	other_task	aaai2020	Synch-Graph: Multisensory Emotion Recognition Through Neural Synchrony via Graph Convolutional Networks
dblp	other_task	aaai2020	Target-Aspect-Sentiment Joint Detection for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2020	Variational Pathway Reasoning for EEG Emotion Recognition
dblp	other_task	aaai2020	Word-Level Contextual Sentiment Analysis with Interpretability
dblp	other_task	aaai2021	A Joint Training Dual-MRC Framework for Aspect Based Sentiment Analysis
dblp	other_task	aaai2021	A Neural Group-wise Sentiment Analysis Model with Data Sparsity Awareness
dblp	other_task	aaai2021	An Adaptive Hybrid Framework for Cross-domain Aspect-based Sentiment Analysis
dblp	other_task	aaai2021	Bridging Towers of Multi-task Learning with a Gating Mechanism for Aspect-based Sentiment Analysis and Sequential Metaphor Identification
dblp	other_task	aaai2021	Context-Guided BERT for Targeted Aspect-Based Sentiment Analysis
dblp	other_task	aaai2021	Contrastive Adversarial Learning for Person Independent Facial Emotion Recognition
dblp	other_task	aaai2021	DialogXL: All-in-One XLNet for Multi-Party Conversation Emotion Recognition
dblp	other_task	aaai2021	Human-Level Interpretable Learning for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2021	Multi-modal Multi-label Emotion Recognition with Heterogeneous Hierarchical Message Passing
dblp	other_task	aaai2021	Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition
dblp	other_task	aaai2021	Quantum Cognitively Motivated Decision Fusion for Video Sentiment Analysis
dblp	other_task	aaai2021	Quantum-inspired Neural Network for Conversational Emotion Recognition
dblp	other_task	aaai2021	Segmentation of Tweets with URLs and its Applications to Sentiment Analysis
dblp	other_task	aaai2021	Zera-Shot Sentiment Analysis for Code-Mixed Data
dblp	other_task	aaai2022	Aspect-Opinion Sentiment Alignment for Cross-Domain Sentiment Analysis (Student Abstract)
dblp	other_task	aaai2022	Enhance Cross-Domain Aspect-Based Sentiment Analysis by Incorporating Commonsense Relational Structure (Student Abstract)
dblp	other_task	aaai2022	Fortunately, Discourse Markers Can Enhance Language Models for Sentiment Analysis
dblp	other_task	aaai2022	From Video to Images: Contrastive Pretraining for Emotion Recognition from Single Image (Student Abstract)
dblp	other_task	aaai2022	Hybrid Curriculum Learning for Emotion Recognition in Conversation
dblp	other_task	aaai2022	Is Discourse Role Important for Emotion Recognition in Conversation?
dblp	other_task	aaai2022	Tailor Versatile Multi-Modal Learning for Multi-Label Emotion Recognition
dblp	other_task	aaai2023	A Speaker Turn-Aware Multi-Task Adversarial Network for Joint User Satisfaction Estimation and Sentiment Analysis
dblp	other_task	aaai2023	BERT-ERC: Fine-Tuning BERT Is Enough for Emotion Recognition in Conversation
dblp	other_task	aaai2023	SKIER: A Symbolic Knowledge Integrated Model for Conversational Emotion Recognition
dblp	other_task	aaai2024	A Brain-Inspired Way of Reducing the Network Complexity via Concept-Regularized Coding for Emotion Recognition
dblp	other_task	aaai2024	A Novel Energy Based Model Mechanism for Multi-Modal Aspect-Based Sentiment Analysis
dblp	other_task	aaai2024	Aspect-Based Sentiment Analysis with Explicit Sentiment Augmentations
dblp	other_task	aaai2024	Beyond Mimicking Under-Represented Emotions: Deep Data Augmentation with Emotional Subspace Constraints for EEG-Based Emotion Recognition
dblp	other_task	aaai2024	CAMEL: Capturing Metaphorical Alignment with Context Disentangling for Multimodal Emotion Recognition
dblp	other_task	aaai2024	CARAT: Contrastive Feature Reconstruction and Aggregation for Multi-Modal Multi-Label Emotion Recognition
dblp	other_task	aaai2024	Counterfactual-Enhanced Information Bottleneck for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2024	DMMR: Cross-Subject Domain Generalization for EEG-Based Emotion Recognition via Denoising Mixed Mutual Reconstruction
dblp	other_task	aaai2024	Practical Sentiment Analysis for Education: The Power of Student Crowdsourcing
dblp	other_task	aaai2024	QPEN: Quantum Projection and Quantum Entanglement Enhanced Network for Cross-Lingual Aspect-Based Sentiment Analysis
dblp	other_task	aaai2024	TextGT: A Double-View Graph Transformer on Text for Aspect-Based Sentiment Analysis
dblp	other_task	aaai2025	Aspect Enhancement and Text Simplification in Multimodal Aspect-Based Sentiment Analysis for Multi-Aspect and Multi-Sentiment Scenarios
dblp	other_task	aaai2025	BIG-FUSION: Brain-Inspired Global-Local Context Fusion Framework for Multimodal Emotion Recognition in Conversations
dblp	other_task	aaai2025	Beyond Single Emotion: Multi-label Approach to Conversational Emotion Recognition
dblp	other_task	aaai2025	DEQA: Descriptions Enhanced Question-Answering Framework for Multimodal Aspect-Based Sentiment Analysis
dblp	other_task	aaai2025	Dual-View Learning for Conversational Emotion Recognition Through Context and Emotion-Shift Modeling
dblp	other_task	aaai2025	Dynamic Interactive Bimodal Hypergraph Networks for Emotion Recognition in Conversations
dblp	other_task	aaai2025	Enhancing Multimodal Affective Analysis with Learned Live Comment Features
dblp	other_task	aaai2025	GaitCycFormer: Leveraging Gait Cycles and Transformers for Gait Emotion Recognition
dblp	other_task	aaai2025	Multi-to-Single: Reducing Multimodal Dependency in Emotion Recognition Through Contrastive Learning
dblp	other_task	aaai2025	Personalized Dynamic Music Emotion Recognition with Dual-Scale Attention-Based Meta-Learning
dblp	other_task	aaai2025	Revisiting Multimodal Emotion Recognition in Conversation from the Perspective of Graph Spectrum
dblp	other_task	aaai2025	Utterance-level Emotion Recognition in Conversation with Conversation-level Supervision
dblp	other_task	aaai2026	Advancing Multimodal Teacher Sentiment Analysis: The Large-Scale T-MED Dataset & the Effective AAM-TSA Model
dblp	other_task	aaai2026	Causal-ERC: A Multimodal Framework with Causal Prompting for Emotion Recognition in Conversations with Large Language Models
dblp	other_task	aaai2026	Cross-Space Synergy: A Unified Framework for Multimodal Emotion Recognition in Conversation
dblp	other_task	aaai2026	Cross-modal Prompting for Balanced Incomplete Multi-modal Emotion Recognition
dblp	other_task	aaai2026	DHCM-CACL: Dynamic Hierarchical Cross-modal Mamba with Confidence-Adaptive Contrastive Learning for Multimodal Emotion Recognition
dblp	other_task	aaai2026	DanceHA: A Multi-Agent Framework for Document-Level Aspect-Based Sentiment Analysis
dblp	other_task	aaai2026	Do LLMs Feel? Teaching Emotion Recognition with Prompts, Retrieval, and Curriculum Learning
dblp	other_task	aaai2026	EmoVid: A Multimodal Emotion Video Dataset for Emotion-Centric Video Understanding and Generation
dblp	other_task	aaai2026	Let the Model Learn to Feel: Mode-Guided Tonality Injection for Symbolic Music Emotion Recognition
dblp	other_task	aaai2026	Reinforce Trustworthiness in Multimodal Emotional Support System
dblp	other_task	aaai2026	SPP-SCL: Semi-Push-Pull Supervised Contrastive Learning for Image-Text Sentiment Analysis and Beyond
dblp	other_task	aaai2026	TiCAL: Typicality-Based Consistency-Aware Learning for Multimodal Emotion Recognition
dblp	other_task	aaai2026	Voices, Faces, and Feelings: Multi-modal Emotion-Cognition Captioning for Mental Health Understanding
dblp	other_task	acl2017-1	Context-Dependent Sentiment Analysis in User-Generated Videos
dblp	other_task	acl2017-2	Multilingual Connotation Frames: A Case Study on Social Media for Targeted Sentiment Analysis and Forecast
dblp	other_task	acl2018-1	A Helping Hand: Transfer Learning for Deep Sentiment Analysis
dblp	other_task	acl2018-1	Aspect Based Sentiment Analysis with Gated Convolutional Networks
dblp	other_task	acl2018-1	Multimodal Affective Analysis Using Hierarchical Attention Strategy with Word-Level Alignment
dblp	other_task	acl2018-3	BCSAT : A Benchmark Corpus for Sentiment Analysis in Telugu Using Word-level Annotations
dblp	other_task	acl2019-1	An Interactive Multi-Task Learning Network for End-to-End Aspect-Based Sentiment Analysis
dblp	other_task	acl2019-1	An Investigation of Transfer Learning-Based Sentiment Analysis in Japanese
dblp	other_task	acl2019-1	Context-aware Embedding for Targeted Aspect-based Sentiment Analysis
dblp	other_task	acl2019-1	Divide, Conquer and Combine: Hierarchical Feature Fusion Network with Local and Global Perspectives for Multimodal Affective Computing
dblp	other_task	acl2019-1	MELD: A Multimodal Multi-Party Dataset for Emotion Recognition in Conversations
dblp	other_task	acl2019-1	Multimodal and Multi-view Models for Emotion Recognition
dblp	other_task	acl2019-1	Open-Domain Targeted Sentiment Analysis via Span-Based Extraction and Classification
dblp	other_task	acl2019-1	Progressive Self-Supervised Attention Learning for Aspect-Level Sentiment Analysis
dblp	other_task	acl2019-1	Tree Communication Models for Sentiment Analysis
dblp	other_task	acl2019-2	Attention and Lexicon Regularized LSTM for Aspect-based Sentiment Analysis
dblp	other_task	acl2019-2	Sentiment Analysis on Naija-Tweets
dblp	other_task	acl2020	Adversarial and Domain-Aware BERT for Cross-Domain Sentiment Analysis
dblp	other_task	acl2020	KinGDOM: Knowledge-Guided DOMain Adaptation for Sentiment Analysis
dblp	other_task	acl2020	Modelling Context and Syntactical Features for Aspect-based Sentiment Analysis
dblp	other_task	acl2020	Relation-Aware Collaborative Learning for Unified Aspect-Based Sentiment Analysis
dblp	other_task	acl2020	Relational Graph Attention Network for Aspect-based Sentiment Analysis
dblp	other_task	acl2020	SKEP: Sentiment Knowledge Enhanced Pre-training for Sentiment Analysis
dblp	other_task	acl2021-1	A Unified Generative Framework for Aspect-based Sentiment Analysis
dblp	other_task	acl2021-1	DialogueCRN: Contextual Reasoning Networks for Emotion Recognition in Conversations
dblp	other_task	acl2021-1	Directed Acyclic Graph Network for Conversational Emotion Recognition
dblp	other_task	acl2021-1	Dual Graph Convolutional Networks for Aspect-based Sentiment Analysis
dblp	other_task	acl2021-1	DynaSent: A Dynamic Benchmark for Sentiment Analysis
dblp	other_task	acl2021-1	Exploring the Efficacy of Automatically Generated Counterfactuals for Sentiment Analysis
dblp	other_task	acl2021-1	MMGCN: Multimodal Fusion via Deep Graph Convolution Network for Emotion Recognition in Conversation
dblp	other_task	acl2021-1	Missing Modality Imagination Network for Emotion Recognition with Uncertain Missing Modalities
dblp	other_task	acl2021-1	Structured Sentiment Analysis as Dependency Graph Parsing
dblp	other_task	acl2021-2	Deep Context- and Relation-Aware Learning for Aspect-based Sentiment Analysis
dblp	other_task	acl2021-2	Towards Generative Aspect-Based Sentiment Analysis
dblp	other_task	acl2021f	Cross-Domain Review Generation for Aspect-Based Sentiment Analysis
dblp	other_task	acl2021f	DNN-driven Gradual Machine Learning for Aspect-term Sentiment Analysis
dblp	other_task	acl2021f	Dynamic and Multi-Channel Graph Convolutional Networks for Aspect-Based Sentiment Analysis
dblp	other_task	acl2021f	Making Flexible Use of Subtasks: A Multiplex Interaction Network for Unified Aspect-based Sentiment Analysis
dblp	other_task	acl2021f	UserAdapter: Few-Shot User Learning in Sentiment Analysis
dblp	other_task	acl2022-1	Adversarial Soft Prompt Tuning for Cross-Domain Sentiment Analysis
dblp	other_task	acl2022-1	Discrete Opinion Tree Induction for Aspect-based Sentiment Analysis
dblp	other_task	acl2022-1	Effective Token Graph Modeling using a Novel Labeling Strategy for Structured Sentiment Analysis
dblp	other_task	acl2022-1	Vision-Language Pre-Training for Multimodal Aspect-Based Sentiment Analysis
dblp	other_task	acl2022f	BiSyn-GAT+: Bi-Syntax Aware Graph Attention Network for Aspect-based Sentiment Analysis
dblp	other_task	acl2022f	EmoCaps: Emotion Capsule based Model for Conversational Emotion Recognition
dblp	other_task	acl2022f	Incorporating Dynamic Semantics into Pre-Trained Language Model for Aspect-based Sentiment Analysis
dblp	other_task	acl2022f	Towards Unifying the Label Space for Aspect- and Sentence-based Sentiment Analysis
dblp	other_task	acl2023-1	A Cross-Modality Context Fusion and Semantic Refinement Network for Emotion Recognition in Conversation
dblp	other_task	acl2023-1	A Facial Expression-Aware Multimodal Multi-task Learning Framework for Emotion Recognition in Multi-party Conversations
dblp	other_task	acl2023-1	AMR-based Network for Aspect-based Sentiment Analysis
dblp	other_task	acl2023-1	Bidirectional Generative Framework for Cross-domain Aspect-based Sentiment Analysis
dblp	other_task	acl2023-1	Cross-Domain Data Augmentation with Domain-Adaptive Language Modeling for Aspect-Based Sentiment Analysis
dblp	other_task	acl2023-1	DualGATs: Dual Graph Attention Networks for Emotion Recognition in Conversations
dblp	other_task	acl2023-1	Layer-wise Fusion with Modality Independence Modeling for Multi-modal Emotion Recognition
dblp	other_task	acl2023-1	MultiEMO: An Attention-Based Correlation-Aware Multimodal Fusion Framework for Emotion Recognition in Conversations
dblp	other_task	acl2023-1	Span-level Aspect-based Sentiment Analysis via Table Filling
dblp	other_task	acl2023-1	Supervised Adversarial Contrastive Learning for Emotion Recognition in Conversations
dblp	other_task	acl2023-1	USSA: A Unified Table Filling Scheme for Structured Sentiment Analysis
dblp	other_task	acl2023f	An Empirical Study of Sentiment-Enhanced Pre-Training for Aspect-Based Sentiment Analysis
