venue_family	tier	venue	title	paper_id
acl	IN_SCOPE	2026.findings-acl	MoLAN: A Unified Modality-Aware Noise Dynamic Editing Framework for Multimodal Sentiment Analysis	2026.findings-acl.1225
acl	IN_SCOPE	2026.findings-acl	Resource-Limited Joint Multimodal Sentiment Reasoning and Classification via Chain-of-Thought Enhancement and Distillation	2026.findings-acl.784
acl	IN_SCOPE	2026.findings-acl	Uncertainty-Calibrated Elastic Alignment for Multimodal Sentiment Analysis with Missing Modalities	2026.findings-acl.260
acl	other_task	2024.acl-long	A Joint Coreference-Aware Approach to Document-Level Target Sentiment Analysis	2024.acl-long.657
acl	other_task	2024.acl-long	EFSA: Towards Event-Level Financial Sentiment Analysis	2024.acl-long.402
acl	other_task	2024.acl-long	Multimodal Prompt Learning with Missing Modalities for Sentiment Analysis and Emotion Recognition	2024.acl-long.94
acl	other_task	2024.acl-long	Revisiting Structured Sentiment Analysis as Latent Dependency Graph Parsing	2024.acl-long.548
acl	other_task	2024.acl-long	S2GSL: Incorporating Segment to Syntactic Enhanced Graph Structure Learning for Aspect-based Sentiment Analysis	2024.acl-long.721
acl	other_task	2024.acl-long	The MERSA Dataset and a Transformer-Based Approach for Speech Emotion Recognition	2024.acl-long.752
acl	other_task	2024.emnlp-main	Dynamic Multi-granularity Attribution Network for Aspect-based Sentiment Analysis	2024.emnlp-main.611
acl	other_task	2024.emnlp-main	Visual Prompting in LLMs for Enhancing Emotion Recognition	2024.emnlp-main.257
acl	other_task	2024.findings-acl	Amanda: Adaptively Modality-Balanced Domain Adaptation for Multimodal Emotion Recognition	2024.findings-acl.859
acl	other_task	2024.findings-acl	Argument-Based Sentiment Analysis on Forward-Looking Statements	2024.findings-acl.820
acl	other_task	2024.findings-acl	DINER: Debiasing Aspect-based Sentiment Analysis with Multi-variable Causal Inference	2024.findings-acl.208
acl	other_task	2024.findings-acl	Improving In-Context Learning with Prediction Feedback for Sentiment Analysis	2024.findings-acl.232
acl	other_task	2024.findings-acl	Instruction Tuning with Retrieval-based Examples Ranking for Aspect-based Sentiment Analysis	2024.findings-acl.284
acl	other_task	2024.findings-acl	It is Simple Sometimes: A Study On Improving Aspect-Based Sentiment Analysis Performance	2024.findings-acl.394
acl	other_task	2024.findings-acl	Refining and Synthesis: A Simple yet Effective Data Augmentation Framework for Cross-Domain Aspect-based Sentiment Analysis	2024.findings-acl.615
acl	other_task	2024.findings-acl	SenticVec: Toward Robust and Human-Centric Neurosymbolic Sentiment Analysis	2024.findings-acl.289
acl	other_task	2024.findings-acl	Transition-based Opinion Generation for Aspect-based Sentiment Analysis	2024.findings-acl.182
acl	other_task	2024.findings-emnlp	Boosting Large Language Models with Continual Learning for Aspect-based Sentiment Analysis	2024.findings-emnlp.252
acl	other_task	2024.findings-emnlp	DetectiveNN: Imitating Human Emotional Reasoning with a Recall-Detect-Predict Framework for Emotion Recognition in Conversations	2024.findings-emnlp.536
acl	other_task	2024.findings-emnlp	Do LLMs Think Fast and Slow? A Causal Study on Sentiment Analysis	2024.findings-emnlp.547
acl	other_task	2024.findings-emnlp	Exploiting Careful Design of SVM Solution for Aspect-term Sentiment Analysis	2024.findings-emnlp.340
acl	other_task	2024.findings-emnlp	Is Compound Aspect-Based Sentiment Analysis Addressed by LLMs?	2024.findings-emnlp.460
acl	other_task	2024.findings-emnlp	Make Compound Sentences Simple to Analyze: Learning to Split Sentences for Aspect-based Sentiment Analysis	2024.findings-emnlp.653
acl	other_task	2024.findings-emnlp	Multiple Knowledge-Enhanced Interactive Graph Network for Multimodal Conversational Emotion Recognition	2024.findings-emnlp.222
acl	other_task	2024.findings-emnlp	PFA-ERC: Psuedo-Future Augmented Dynamic Emotion Recognition in Conversations	2024.findings-emnlp.950
acl	other_task	2024.findings-emnlp	Shoes-ACOSI: A Dataset for Aspect-Based Sentiment Analysis with Implicit Opinion Extraction	2024.findings-emnlp.907
acl	other_task	2024.findings-emnlp	The Overlooked Repetitive Lengthening Form in Sentiment Analysis	2024.findings-emnlp.952
acl	other_task	2024.findings-emnlp	UniMEEC: Towards Unified Multimodal Emotion Recognition and Emotion Cause	2024.findings-emnlp.302
acl	other_task	2024.findings-emnlp	Vanessa: Visual Connotation and Aesthetic Attributes Understanding Network for Multimodal Aspect-based Sentiment Analysis	2024.findings-emnlp.671
acl	other_task	2024.naacl-long	IndiSentiment140: Sentiment Analysis Dataset for Indian Languages with Emphasis on Low-Resource Languages using Machine Translation	2024.naacl-long.425
acl	other_task	2024.naacl-long	Multimodal Multi-loss Fusion Network for Sentiment Analysis	2024.naacl-long.197
acl	other_task	2024.naacl-long	Quantum-inspired Language Model with Lindblad Master Equation and Interference Measurement for Sentiment Analysis	2024.naacl-long.116
acl	other_task	2024.naacl-long	TelME: Teacher-leading Multimodal Fusion Network for Emotion Recognition in Conversation	2024.naacl-long.5
acl	other_task	2025.acl-long	BRIGHTER: BRIdging the Gap in Human-Annotated Textual Emotion Recognition Datasets for 28 Languages	2025.acl-long.436
acl	other_task	2025.acl-long	CoE: A Clue of Emotion Framework for Emotion Recognition in Conversations	2025.acl-long.1148
acl	other_task	2025.acl-long	DS2-ABSA: Dual-Stream Data Synthesis with Label Refinement for Few-Shot Aspect-Based Sentiment Analysis	2025.acl-long.752
acl	other_task	2025.acl-long	ECERC: Evidence-Cause Attention Network for Multi-Modal Emotion Recognition in Conversation	2025.acl-long.102
acl	other_task	2025.acl-long	Error Comparison Optimization for Large Language Models on Aspect-Based Sentiment Analysis	2025.acl-long.913
acl	other_task	2025.acl-long	LACA: Improving Cross-lingual Aspect-Based Sentiment Analysis with LLM Data Augmentation	2025.acl-long.41
acl	other_task	2025.emnlp-main	BTC-SAM: Leveraging LLMs for Generation of Bias Test Cases for Sentiment Analysis Models	2025.emnlp-main.763
acl	other_task	2025.emnlp-main	Comprehensive and Efficient Distillation for Lightweight Sentiment Analysis Models	2025.emnlp-main.1122
acl	other_task	2025.emnlp-main	Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation	2025.emnlp-main.31
acl	other_task	2025.emnlp-main	M-ABSA: A Multilingual Dataset for Aspect-Based Sentiment Analysis	2025.emnlp-main.128
acl	other_task	2025.emnlp-main	MERMAID: Multi-perspective Self-reflective Agents with Generative Augmentation for Emotion Recognition	2025.emnlp-main.1252
acl	other_task	2025.emnlp-main	Power doesn’t reside in size: A Low Parameter Hybrid Language Model (HLM) for Sentiment Analysis in Code-mixed data	2025.emnlp-main.749
acl	other_task	2025.emnlp-main	RD-MCSA: A Multi-Class Sentiment Analysis Approach Integrating In-Context Classification Rationales and Demonstrations	2025.emnlp-main.1100
acl	other_task	2025.emnlp-main	Targeted Distillation for Sentiment Analysis	2025.emnlp-main.1127
acl	other_task	2025.findings-acl	Akan Cinematic Emotions (ACE): A Multimodal Multi-party Dataset for Emotion Recognition in Movie Dialogues	2025.findings-acl.510
acl	other_task	2025.findings-acl	DaNet: Dual-Aware Enhanced Alignment Network for Multimodal Aspect-Based Sentiment Analysis	2025.findings-acl.741
acl	other_task	2025.findings-acl	Latent Distribution Decouple for Uncertain-Aware Multimodal Multi-label Emotion Recognition	2025.findings-acl.1238
acl	other_task	2025.findings-acl	Sentimental Image Generation for Aspect-based Sentiment Analysis	2025.findings-acl.210
acl	other_task	2025.findings-acl	TDCSA: LLM-Guided Top-Down Approach for Robust Citation Sentiment Analysis	2025.findings-acl.335
acl	other_task	2025.findings-emnlp	Aspect-based Sentiment Analysis via Synthetic Image Generation	2025.findings-emnlp.1190
acl	other_task	2025.findings-emnlp	EMO-RL: Emotion-Rule-Based Reinforcement Learning Enhanced Audio-Language Model for Generalized Speech Emotion Recognition	2025.findings-emnlp.1018
acl	other_task	2025.findings-emnlp	Flexible Thinking for Multimodal Emotional Support Conversation via Reinforcement Learning	2025.findings-emnlp.70
acl	other_task	2025.findings-emnlp	GRPO-Guided Modality Selection Enhanced LoRA-Tuned LLMs for Multimodal Emotion Recognition	2025.findings-emnlp.1059
acl	other_task	2025.findings-emnlp	Multimodal Emotion Recognition in Conversations: A Survey of Methods, Trends, Challenges and Prospects	2025.findings-emnlp.332
acl	other_task	2025.findings-emnlp	Zero-Shot Cross-Domain Aspect-Based Sentiment Analysis via Domain-Contextualized Chain-of-Thought Reasoning	2025.findings-emnlp.245
acl	other_task	2025.naacl-long	Mixture of Multimodal Adapters for Sentiment Analysis	2025.naacl-long.90
acl	other_task	2025.naacl-long	Single Ground Truth Is Not Enough: Adding Flexibility to Aspect-Based Sentiment Analysis Evaluation	2025.naacl-long.603
acl	other_task	2026.acl-long	DimABSA: Building Multilingual and Multidomain Datasets for Dimensional Aspect-Based Sentiment Analysis	2026.acl-long.1881
acl	other_task	2026.acl-long	ERCThinker: Fast-Slow Thinking for Emotion Recognition in Conversation	2026.acl-long.1825
acl	other_task	2026.acl-long	Emotion-Wheel-Guided Audio-Referred Text Representation for Multimodal Emotion Recognition in Conversation	2026.acl-long.1875
acl	other_task	2026.acl-long	JoPR: Joint Emotion Perception and Reasoning for Conversational Emotion Recognition	2026.acl-long.1800
acl	other_task	2026.acl-long	Locate and Explain: Joint Multimodal Emotion Cause Extraction and Summarization in Conversation	2026.acl-long.2012
acl	other_task	2026.acl-long	MSMO-ABSA: Multi-Scale and Multi-Objective Optimization for Cross-Lingual Aspect-Based Sentiment Analysis	2026.acl-long.851
acl	other_task	2026.acl-long	Prosody as Supervision: Bridging the Non-Verbal–Verbal for Multilingual Speech Emotion Recognition	2026.acl-long.1940
acl	other_task	2026.acl-long	Single-Pass, Depth-Selective Reading for Multi-Aspect Sentiment Analysis	2026.acl-long.667
acl	other_task	2026.acl-long	Uncovering Sentiment Analysis Circuit in Large Language Model	2026.acl-long.928
acl	other_task	2026.findings-acl	Beyond Semantic Similarity: Appraisal-Guided Chain-of-Thought Reasoning and Retrieval for Multimodal Emotional Support Conversations	2026.findings-acl.844
acl	other_task	2026.findings-acl	CAIR: Causal Adaptive Information-based Reinforcement Learning for Multimodal Emotion Reasoning	2026.findings-acl.1263
acl	other_task	2026.findings-acl	CMTD: Cognitive Modeling with Traits and Distortions for Multimodal Emotion Recognition in Conversations	2026.findings-acl.41
acl	other_task	2026.findings-acl	CaM-HG: Causal-Enhanced MoE and Hypergraphs Network for Incomplete Multimodal Emotion Recognition in Conversations	2026.findings-acl.813
acl	other_task	2026.findings-acl	E-ABSA20K: A Dataset and Propose-and-Verify for Aspect-Based Sentiment Analysis in Long E-commerce Reviews	2026.findings-acl.892
acl	other_task	2026.findings-acl	EmoMM: Benchmarking and Steering MLLM for Multimodal Emotion Recognition under Conflict and Missingness	2026.findings-acl.1018
acl	other_task	2026.findings-acl	EmotionTalk: An Interactive Chinese Multimodal Emotion Dataset With Rich Annotations	2026.findings-acl.440
acl	other_task	2026.findings-acl	Exploring Multilingual Pre-trained Language Model for Aspect-based Sentiment Analysis	2026.findings-acl.298
acl	other_task	2026.findings-acl	From Coarse to Fine: A Multi-Granularity Multimodal Framework for Teacher Sentiment Analysis	2026.findings-acl.431
acl	other_task	2026.findings-acl	Human-Centered Supervision for Sentiment Analysis in Telugu: A Systematic Inquiry Beyond Accuracy	2026.findings-acl.1476
acl	other_task	2026.findings-acl	JX4MEI: Multimodal Semantically-Enhanced LLM for Joint Multimodal Emotion-Intent Explanation and Classification	2026.findings-acl.1012
acl	other_task	2026.findings-acl	Model in Distress: Sentiment Analysis on French Synthetic Social Media	2026.findings-acl.2132
cvf	IN_SCOPE	CVPR2024	Correlation-Decoupled Knowledge Distillation for Multimodal Sentiment Analysis with Incomplete Modalities	/content/CVPR2024/html/Li_Correlation-Decoupled_Knowledge_Distillation_for_Multimodal_Sentiment_Analysis_with_Incomplete_Modalities_CVPR_2024_paper.html
cvf	IN_SCOPE	CVPR2026	Active Perceptual Inference: A Corticothalamic-Inspired Dynamic Nested Recurrent Network for Multimodal Sentiment Analysis with Incomplete Data	/content/CVPR2026/html/Zhang_Active_Perceptual_Inference_A_Corticothalamic-Inspired_Dynamic_Nested_Recurrent_Network_for_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	CICA: Coupling Confidence-Aware Pretraining with Confidence-Informed Attention for Robust Multimodal Sentiment Analysis	/content/CVPR2026/html/Jiang_CICA_Coupling_Confidence-Aware_Pretraining_with_Confidence-Informed_Attention_for_Robust_Multimodal_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Conflict-Aware Adaptive Cross-Reconstruction for Multimodal Sentiment Analysis	/content/CVPR2026/html/Wang_Conflict-Aware_Adaptive_Cross-Reconstruction_for_Multimodal_Sentiment_Analysis_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Enhance-then-Balance Modality Collaboration for Robust Multimodal Sentiment Analysis	/content/CVPR2026/html/He_Enhance-then-Balance_Modality_Collaboration_for_Robust_Multimodal_Sentiment_Analysis_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Factorize, Reconstruct, Enhance: A Unified Framework for Multimodal Sentiment Analysis	/content/CVPR2026/html/Yang_Factorize_Reconstruct_Enhance_A_Unified_Framework_for_Multimodal_Sentiment_Analysis_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Multi-Metric Representation Learning Strategy Based on Clustering for Fine-Grained Multimodal Sentiment Analysis	/content/CVPR2026/html/Wang_Multi-Metric_Representation_Learning_Strategy_Based_on_Clustering_for_Fine-Grained_Multimodal_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Prototype-as-Prompt: Multimodal Sentiment Prototypes Endowing Large Language Models the Capability to Perform Multimodal Sentiment Analysis	/content/CVPR2026/html/Zhao_Prototype-as-Prompt_Multimodal_Sentiment_Prototypes_Endowing_Large_Language_Models_the_Capability_CVPR_2026_paper.html
cvf	IN_SCOPE	CVPR2026	Tri-Subspaces Disentanglement for Multimodal Sentiment Analysis	/content/CVPR2026/html/Meng_Tri-Subspaces_Disentanglement_for_Multimodal_Sentiment_Analysis_CVPR_2026_paper.html
cvf	IN_SCOPE	ICCV2025	CMAD: Correlation-Aware and Modalities-Aware Distillation for Multimodal Sentiment Analysis with Missing Modalities	/content/ICCV2025/html/Zhuang_CMAD_Correlation-Aware_and_Modalities-Aware_Distillation_for_Multimodal_Sentiment_Analysis_with_ICCV_2025_paper.html
cvf	other_task	CVPR2024	Robust Emotion Recognition in Context Debiasing	/content/CVPR2024/html/Yang_Robust_Emotion_Recognition_in_Context_Debiasing_CVPR_2024_paper.html
cvf	other_task	CVPR2025	CocoER: Aligning Multi-Level Feature by  Competition and Coordination for Emotion Recognition	/content/CVPR2025/html/Shen_CocoER_Aligning_Multi-Level_Feature_by__Competition_and_Coordination_for_CVPR_2025_paper.html
cvf	other_task	CVPR2025	Knowledge-Aligned Counterfactual-Enhancement Diffusion Perception for Unsupervised Cross-Domain Visual Emotion Recognition	/content/CVPR2025/html/Yin_Knowledge-Aligned_Counterfactual-Enhancement_Diffusion_Perception_for_Unsupervised_Cross-Domain_Visual_Emotion_Recognition_CVPR_2025_paper.html
cvf	other_task	CVPR2026	Beyond Missing Modalities: Hypergraph Conditioned Diffusion for Uncertainty-Aware Multimodal Emotion Recognition	/content/CVPR2026/html/Qiu_Beyond_Missing_Modalities_Hypergraph_Conditioned_Diffusion_for_Uncertainty-Aware_Multimodal_Emotion_CVPR_2026_paper.html
cvf	other_task	CVPR2026	Nano-EmoX: Unifying Multimodal Emotional Intelligence from Perception to Empathy	/content/CVPR2026/html/Huang_Nano-EmoX_Unifying_Multimodal_Emotional_Intelligence_from_Perception_to_Empathy_CVPR_2026_paper.html
cvf	other_task	WACV2025	Leveraging CLIP Encoder for Multimodal Emotion Recognition	/content/WACV2025/html/Song_Leveraging_CLIP_Encoder_for_Multimodal_Emotion_Recognition_WACV_2025_paper.html
cvf	other_task	WACV2026	Divide and Refine: Enhancing Multimodal Representation and Explainability for Emotion Recognition in Conversation	/content/WACV2026/html/Mai_Divide_and_Refine_Enhancing_Multimodal_Representation_and_Explainability_for_Emotion_WACV_2026_paper.html
cvf	other_task	WACV2026	Robust Multimodal Emotion Recognition from Incomplete Modalities via Query-Based Unimodal and Cross-Modal Learning	/content/WACV2026/html/Miyoshi_Robust_Multimodal_Emotion_Recognition_from_Incomplete_Modalities_via_Query-Based_Unimodal_WACV_2026_paper.html
cvf	other_task	WACV2026	SynchroRaMa : Lip-Synchronized and Emotion-Aware Talking Face Generation via Multi-Modal Emotion Embedding	/content/WACV2026/html/Yee_SynchroRaMa__Lip-Synchronized_and_Emotion-Aware_Talking_Face_Generation_via_Multi-Modal_WACV_2026_paper.html
