tier	volume	paper_id	title
other_task	2024.findings-acl	2024.findings-acl.615	Refining and Synthesis: A Simple yet Effective Data Augmentation Framework for Cross-Domain Aspect-based Sentiment Analysis
other_task	2024.findings-acl	2024.findings-acl.820	Argument-Based Sentiment Analysis on Forward-Looking Statements
other_task	2024.findings-acl	2024.findings-acl.859	Amanda: Adaptively Modality-Balanced Domain Adaptation for Multimodal Emotion Recognition
other_task	2024.findings-emnlp	2024.findings-emnlp.222	Multiple Knowledge-Enhanced Interactive Graph Network for Multimodal Conversational Emotion Recognition
other_task	2024.findings-emnlp	2024.findings-emnlp.252	Boosting Large Language Models with Continual Learning for Aspect-based Sentiment Analysis
other_task	2024.findings-emnlp	2024.findings-emnlp.302	UniMEEC: Towards Unified Multimodal Emotion Recognition and Emotion Cause
other_task	2024.findings-emnlp	2024.findings-emnlp.340	Exploiting Careful Design of SVM Solution for Aspect-term Sentiment Analysis
other_task	2024.findings-emnlp	2024.findings-emnlp.460	Is Compound Aspect-Based Sentiment Analysis Addressed by LLMs?
other_task	2024.findings-emnlp	2024.findings-emnlp.536	DetectiveNN: Imitating Human Emotional Reasoning with a Recall-Detect-Predict Framework for Emotion Recognition in Conversations
other_task	2024.findings-emnlp	2024.findings-emnlp.547	Do LLMs Think Fast and Slow? A Causal Study on Sentiment Analysis
other_task	2024.findings-emnlp	2024.findings-emnlp.653	Make Compound Sentences Simple to Analyze: Learning to Split Sentences for Aspect-based Sentiment Analysis
other_task	2024.findings-emnlp	2024.findings-emnlp.671	Vanessa: Visual Connotation and Aesthetic Attributes Understanding Network for Multimodal Aspect-based Sentiment Analysis
other_task	2024.findings-emnlp	2024.findings-emnlp.907	Shoes-ACOSI: A Dataset for Aspect-Based Sentiment Analysis with Implicit Opinion Extraction
other_task	2024.findings-emnlp	2024.findings-emnlp.950	PFA-ERC: Psuedo-Future Augmented Dynamic Emotion Recognition in Conversations
other_task	2024.findings-emnlp	2024.findings-emnlp.952	The Overlooked Repetitive Lengthening Form in Sentiment Analysis
other_task	2024.naacl-long	2024.naacl-long.116	Quantum-inspired Language Model with Lindblad Master Equation and Interference Measurement for Sentiment Analysis
other_task	2024.naacl-long	2024.naacl-long.197	Multimodal Multi-loss Fusion Network for Sentiment Analysis
other_task	2024.naacl-long	2024.naacl-long.425	IndiSentiment140: Sentiment Analysis Dataset for Indian Languages with Emphasis on Low-Resource Languages using Machine Translation
other_task	2024.naacl-long	2024.naacl-long.5	TelME: Teacher-leading Multimodal Fusion Network for Emotion Recognition in Conversation
other_task	2025.acl-long	2025.acl-long.102	ECERC: Evidence-Cause Attention Network for Multi-Modal Emotion Recognition in Conversation
other_task	2025.acl-long	2025.acl-long.1148	CoE: A Clue of Emotion Framework for Emotion Recognition in Conversations
other_task	2025.acl-long	2025.acl-long.41	LACA: Improving Cross-lingual Aspect-Based Sentiment Analysis with LLM Data Augmentation
other_task	2025.acl-long	2025.acl-long.436	BRIGHTER: BRIdging the Gap in Human-Annotated Textual Emotion Recognition Datasets for 28 Languages
other_task	2025.acl-long	2025.acl-long.752	DS2-ABSA: Dual-Stream Data Synthesis with Label Refinement for Few-Shot Aspect-Based Sentiment Analysis
other_task	2025.acl-long	2025.acl-long.913	Error Comparison Optimization for Large Language Models on Aspect-Based Sentiment Analysis
other_task	2025.emnlp-main	2025.emnlp-main.1100	RD-MCSA: A Multi-Class Sentiment Analysis Approach Integrating In-Context Classification Rationales and Demonstrations
other_task	2025.emnlp-main	2025.emnlp-main.1122	Comprehensive and Efficient Distillation for Lightweight Sentiment Analysis Models
other_task	2025.emnlp-main	2025.emnlp-main.1127	Targeted Distillation for Sentiment Analysis
other_task	2025.emnlp-main	2025.emnlp-main.1252	MERMAID: Multi-perspective Self-reflective Agents with Generative Augmentation for Emotion Recognition
other_task	2025.emnlp-main	2025.emnlp-main.128	M-ABSA: A Multilingual Dataset for Aspect-Based Sentiment Analysis
other_task	2025.emnlp-main	2025.emnlp-main.31	Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation
other_task	2025.emnlp-main	2025.emnlp-main.749	Power doesn’t reside in size: A Low Parameter Hybrid Language Model (HLM) for Sentiment Analysis in Code-mixed data
other_task	2025.emnlp-main	2025.emnlp-main.763	BTC-SAM: Leveraging LLMs for Generation of Bias Test Cases for Sentiment Analysis Models
other_task	2025.findings-acl	2025.findings-acl.1238	Latent Distribution Decouple for Uncertain-Aware Multimodal Multi-label Emotion Recognition
other_task	2025.findings-acl	2025.findings-acl.210	Sentimental Image Generation for Aspect-based Sentiment Analysis
other_task	2025.findings-acl	2025.findings-acl.335	TDCSA: LLM-Guided Top-Down Approach for Robust Citation Sentiment Analysis
other_task	2025.findings-acl	2025.findings-acl.510	Akan Cinematic Emotions (ACE): A Multimodal Multi-party Dataset for Emotion Recognition in Movie Dialogues
other_task	2025.findings-acl	2025.findings-acl.741	DaNet: Dual-Aware Enhanced Alignment Network for Multimodal Aspect-Based Sentiment Analysis
other_task	2025.findings-emnlp	2025.findings-emnlp.1018	EMO-RL: Emotion-Rule-Based Reinforcement Learning Enhanced Audio-Language Model for Generalized Speech Emotion Recognition
other_task	2025.findings-emnlp	2025.findings-emnlp.1059	GRPO-Guided Modality Selection Enhanced LoRA-Tuned LLMs for Multimodal Emotion Recognition
other_task	2025.findings-emnlp	2025.findings-emnlp.1190	Aspect-based Sentiment Analysis via Synthetic Image Generation
other_task	2025.findings-emnlp	2025.findings-emnlp.245	Zero-Shot Cross-Domain Aspect-Based Sentiment Analysis via Domain-Contextualized Chain-of-Thought Reasoning
other_task	2025.findings-emnlp	2025.findings-emnlp.332	Multimodal Emotion Recognition in Conversations: A Survey of Methods, Trends, Challenges and Prospects
other_task	2025.findings-emnlp	2025.findings-emnlp.70	Flexible Thinking for Multimodal Emotional Support Conversation via Reinforcement Learning
other_task	2025.naacl-long	2025.naacl-long.603	Single Ground Truth Is Not Enough: Adding Flexibility to Aspect-Based Sentiment Analysis Evaluation
other_task	2025.naacl-long	2025.naacl-long.90	Mixture of Multimodal Adapters for Sentiment Analysis
other_task	2026.acl-long	2026.acl-long.1800	JoPR: Joint Emotion Perception and Reasoning for Conversational Emotion Recognition
other_task	2026.acl-long	2026.acl-long.1825	ERCThinker: Fast-Slow Thinking for Emotion Recognition in Conversation
other_task	2026.acl-long	2026.acl-long.1875	Emotion-Wheel-Guided Audio-Referred Text Representation for Multimodal Emotion Recognition in Conversation
other_task	2026.acl-long	2026.acl-long.1881	DimABSA: Building Multilingual and Multidomain Datasets for Dimensional Aspect-Based Sentiment Analysis
other_task	2026.acl-long	2026.acl-long.1940	Prosody as Supervision: Bridging the Non-Verbal–Verbal for Multilingual Speech Emotion Recognition
other_task	2026.acl-long	2026.acl-long.2012	Locate and Explain: Joint Multimodal Emotion Cause Extraction and Summarization in Conversation
other_task	2026.acl-long	2026.acl-long.667	Single-Pass, Depth-Selective Reading for Multi-Aspect Sentiment Analysis
other_task	2026.acl-long	2026.acl-long.851	MSMO-ABSA: Multi-Scale and Multi-Objective Optimization for Cross-Lingual Aspect-Based Sentiment Analysis
other_task	2026.acl-long	2026.acl-long.928	Uncovering Sentiment Analysis Circuit in Large Language Model
other_task	2026.findings-acl	2026.findings-acl.1012	JX4MEI: Multimodal Semantically-Enhanced LLM for Joint Multimodal Emotion-Intent Explanation and Classification
other_task	2026.findings-acl	2026.findings-acl.1018	EmoMM: Benchmarking and Steering MLLM for Multimodal Emotion Recognition under Conflict and Missingness
other_task	2026.findings-acl	2026.findings-acl.1263	CAIR: Causal Adaptive Information-based Reinforcement Learning for Multimodal Emotion Reasoning
other_task	2026.findings-acl	2026.findings-acl.1476	Human-Centered Supervision for Sentiment Analysis in Telugu: A Systematic Inquiry Beyond Accuracy
other_task	2026.findings-acl	2026.findings-acl.2132	Model in Distress: Sentiment Analysis on French Synthetic Social Media
other_task	2026.findings-acl	2026.findings-acl.298	Exploring Multilingual Pre-trained Language Model for Aspect-based Sentiment Analysis
other_task	2026.findings-acl	2026.findings-acl.41	CMTD: Cognitive Modeling with Traits and Distortions for Multimodal Emotion Recognition in Conversations
other_task	2026.findings-acl	2026.findings-acl.431	From Coarse to Fine: A Multi-Granularity Multimodal Framework for Teacher Sentiment Analysis
other_task	2026.findings-acl	2026.findings-acl.440	EmotionTalk: An Interactive Chinese Multimodal Emotion Dataset With Rich Annotations
other_task	2026.findings-acl	2026.findings-acl.813	CaM-HG: Causal-Enhanced MoE and Hypergraphs Network for Incomplete Multimodal Emotion Recognition in Conversations
other_task	2026.findings-acl	2026.findings-acl.844	Beyond Semantic Similarity: Appraisal-Guided Chain-of-Thought Reasoning and Retrieval for Multimodal Emotional Support Conversations
other_task	2026.findings-acl	2026.findings-acl.892	E-ABSA20K: A Dataset and Propose-and-Verify for Aspect-Based Sentiment Analysis in Long E-commerce Reviews
